新書,五十歲後我的媽,1
新書,高能量習慣,1,蘇？瓦爾瑪
新書,人際關係的思維槓桿,1
新書,黃仁勳傳（暢銷增訂版）,1,史帝芬．維特
新書,無偏見管理,1,艾莉絲．波內特、希瑞．奇拉茲
新書,2050科技與商業藍圖,1,凱文．凱利、吳晨
新書,永續治理，讓大愛永傳人間,1
新書,百倍成長股投資法,1
新書,紀律長贏,1
新書,指數致富,1
新書,財富自由心理學,1
新書,致富心態（全球暢銷千萬增訂版）,1
新書,夏娃：女性身體如何推動兩億年的人類演化,1,薄翰儂
新書,儒學新解,1
新書,碳水循環（新年瘦身特別版）,1
新書,贏在表達,1
新書,如果這樣，怎麼辦？,1
管理,人類大歷史：知識漫畫1—人類誕生,1,哈拉瑞
管理,人類大歷史：知識漫畫2—文明支柱,1,哈拉瑞
管理,人類大歷史：知識漫畫3—歷史主宰（贈品版）,1,哈拉瑞
管理,人類大歷史（增訂版）,1,哈拉瑞
管理,人類大命運(增訂版),1,哈拉瑞
管理,21世紀的21堂課(增訂版),1,哈拉瑞
管理,連結：從石器時代到AI紀元,1,哈拉瑞
管理,與領導有約：原則致勝,1,史蒂芬．柯維
管理,管理學的新世界（最新修訂版）,1,司徒達賢
管理,競爭策略,1,麥可．波特
管理,競爭優勢(上下冊)套書,1,麥可．波特
管理,競爭論,1,麥可．波特
管理,執行力,1,包熙迪、夏藍
管理,好策略壞策略,1,魯梅特
管理,對手偷不走的優勢,1,藍奇歐尼
管理,SCRUM,1,傑夫．薩瑟蘭/J.J.薩瑟蘭
管理,無印良品培育人才祕笈,1,松井忠三
管理,Google超級用人學,1,拉茲洛．博克
管理,五項修練的故事（合訂版）,1,大衛．哈欽斯
管理,心態致勝,1,卡蘿．杜維克博士
管理,第五項修練（全新修訂版）,1,彼得．聖吉
管理,OKR：做最重要的事,1,約翰．杜爾
管理,徹底坦率：一種有溫度而真誠的領導,1,金．史考特
管理,零錯誤：全球頂尖企業都採用的科技策略,1,邱強
管理,專案管理革命,1,安東尼奧．尼托－羅德里格茲
管理,SCRUM敏捷實戰手冊,1,J.J.薩瑟蘭
管理,你的行為，決定你是誰塑造企業文化最重要的事,1,本．霍羅維茲
管理,人力資源管理的12堂課（全新內容經典珍藏版）,1,李誠（主編）、房美玉、蔡維奇、林文政、黃同圳、劉念琪、王群孝、葉穎蓉、陳春希、陸洛、鄭晉昌、胡昌亞（按文章出現順序排列）
管理,零錯誤決策,1,邱強
管理,商業構想變現,1,大衛．布蘭德、亞歷山大．奧斯瓦爾德
管理,領導者的數位轉型,1,馬可．顏西提、卡林．拉哈尼
管理,家族企業的治理、傳承與接班,1,司徒達賢
管理,雜訊,1,丹尼爾．康納曼、奧利維．席波尼、凱斯．桑思汀
管理,亞馬遜逆向工作法：揭密全球最大電商的經營思維,1,柯林．布萊爾、比爾．卡爾
管理,目標（35週年紀念版）,1,伊利雅胡·高德拉特、傑夫·科克斯
管理,找出生活中的灰犀牛,1,米歇爾．渥克
管理,企業初心,1,修伯特．喬利、卡蘿蘭．藍柏特
管理,OKR實現淨零排放的行動計畫,1,約翰．杜爾、萊恩．潘查薩拉姆
管理,哈佛商業評論最有影響力的30篇文章,1,哈佛商業評論
管理,目的與獲利,1,喬治．塞拉分
管理,影響力法則,1,瓊？李維
管理,反時間管理：拿回時間掌控權，每天做喜歡做的事,1,瑞奇．諾頓
管理,人才：識才、選才、求才、留才的10堂課,1,泰勒．科文、丹尼爾．葛羅斯
管理,超乎常理的款待：世界第一名餐廳的服務精神,1,威爾．吉達拉
管理,明茲伯格談高效團隊,1,亨利．明茲伯格
管理,哈佛商業評論推薦必讀AI趨勢,1,哈佛商業評論
管理,科特勒談新行銷,1,菲利浦．科特勒、陳就學、許丁宦、傑克．姆斯里
管理,用AVM做對管理,1,吳安妮
管理,稻盛和夫的思考之道,1,稻盛和夫
管理,心態致勝領導學,1,瑪麗．墨菲
管理,面試的科學,1,安娜．帕帕利亞
管理,BCG企畫思考：頂尖顧問教你從無到有，推出主管和客戶都滿意的提案,1,思中志
管理,松下幸之助的實踐經營哲學,1,松下幸之助
管理,原力心態：Google模式的未來思考,1,弗雷德里克．佛特
管理,職場人的生成式AI工作法,1,艾麗莎．法瑞、賈布里．羅薩尼
管理,改變談判賽局：適應協商情境X共創最大價值,1,麥斯．貝澤曼（MaxH.Bazerman）
管理,主人精神的款待,1,魏幸怡
管理,無偏見管理,1,艾莉絲．波內特、希瑞．奇拉茲
商業1,矽說台灣,1,張如心、潘文淵文教基
商業1,快思慢想,1,康納曼
商業1,文明的代價,1,傑佛瑞．薩克斯
商業1,第二次機器時代,1,布林優夫森、麥克費
商業1,一切都是誘因的問題！,1,葛尼奇、李斯特
商業1,永續發展新紀元,1,傑佛瑞．薩克斯
商業1,微笑走出自己的路,1
商業1,釣愚：操縱與欺騙的經濟學,1,喬治．艾克羅夫/伯．席勒
商業1,膽大無畏,1,彼得．迪亞曼迪斯/史蒂芬．科特勒
商業1,未來產業,1,亞歷克．羅斯
商業1,跨世紀的產業推手,1,李俊明、李翠卿、謝其濬、傅瑋瓊、沈勤譽、王胤筠
商業1,指尖下的大數據,1,鄭江宇、曾瀚平
商業1,灰犀牛,1,米歇爾．渥克
商業1,罪與罰之外,1,熊秉元
商業1,區塊鏈革命,1,唐．泰普史考特、亞力士．泰普史考特
商業1,第四次工業革命,1,克勞斯．施瓦布
商業1,經濟學的世界（上）（下）套書,1,高希均
商業1,你要如何衡量你的人生？ （全新增修版）,1,克雷頓．克里斯汀生、詹姆斯．歐沃斯、凱倫．狄倫
商業1,進擊：未來社會的九大生存法則,1,伊藤穰一、郝傑夫
商業1,風格是一種商機,1,增田宗昭
商業1,銀光經濟,1,約瑟夫．F．柯佛林
商業1,什麼才是經營最難的事,1,本．霍羅維茲
商業1,行動5.0,1,呂學錦
商業1,矽谷帝國,1,露西？葛芮妮
商業1,第三支柱,1,拉古拉姆．拉詹
商業1,勇闖天涯翻轉人生,1,王怡棻、王珍翔、王維玲、朱乙真、李偉麟、沈勤譽、陳慧玲
商業1,史迪格里茲改革宣言,1,史迪格里茲
商業1,世界又熱、又平、又擠,1,湯馬斯．佛里曼
商業1,關鍵影響力,1,朱乙真、沈勤譽、陳玉鳳、黃筱珮、廖靜清
商業1,台灣經濟再奮發之路,1,葉萬安
商業2,不工作的世界,1,丹尼爾．薩斯金
商業2,臥底經濟學家的10堂數據偵探課,1,提姆．哈福特
商業2,思想經濟學,1,維卡斯．夏哈
商業2,從0到101：打造世界天際線的旅程,1,胡芝寧
商業2,不受傷創業,1,湯姆．艾森曼
商業2,中美匯流大未來：地緣政治、宏觀經濟、企業經營趨勢,1,周行一//圖文協力:顧庭伊
商業2,精實影響力：非營利組織的創新,1,張安梅AnnMeiChang
商業2,電動車產業大未來,1,宣明智、傅瑋瓊
商業2,蘋果進行式,1,特里普·米克爾
商業2,模仿欲望,1,柏柳康
商業2,淤泥效應,1,凱斯．桑思汀
商業2,大失衡,1,亞歷克．羅斯
商業2,洞見未來：勾勒美好新境界,1,王明德、李森堙、陳玉鳳、廖珮君、劉子寧
商業2,選擇經濟學,1,埃里克．安格納
商業2,隱形天賦,1,寶琳娜．瑪麗諾娃．龐普莉亞諾
商業2,誘因設計：精準傳遞訊號，讓人照著你的想法行動,1,尤里．葛尼奇
商業2,權力與進步,1,戴倫．艾塞默魯、賽門．強森
商業2,供應鏈戰爭,1,埃德？康威
商業2,太空商業時代,1,艾胥黎．范思
商業2,訂做自己,1,班傑明．哈迪（BenjaminHardy）
商業2,極客之道,1,安德魯．麥克費
商業2,別再跳脫舒適圈,1,克莉絲汀．巴特勒
商業2,WEB3新商機：人人都能獲利的去中心化經濟（首批限量軟精版）,1,泰普史考特
商業2,Read Write Own,1,克里斯．狄克森
商業2,尋找安全的家,1,蔡榮根
商業2,誤信：為什麼理性的人會相信不理性的事,1,丹．艾瑞利
商業2,買進獨角獸,1,小麥克．梅普爾斯、彼得．齊貝爾曼
商業2,看得見的高效思考,1,劉奕西
商業2,真危機與假警報,1,菲利浦．卡爾森-斯雷札克、保羅．史瓦茲
商業2,經濟預測革命：從混沌理論到大數據的決策新科學,1,多伊恩．法默
商業2,刻意進化：突破極限的心智鍛鍊,1,艾瑞克．波特瑞特博士、亞倫．伊格爾
商業2,我們的美元，你們的問題,1,肯尼斯．羅格夫
商業3,鼎泰豐，有溫度的完美（典藏增訂版）,1,林靜宜
商業3,跟著台達蓋出綠建築2,1,台達電子文教基金會
商業3,席夢思,1,傅瑋瓊
商業3,B型選擇,1,王維玲
商業3,從沙龍到聯合國,1,邵冰如
商業3,信義學：ESG先行者10個有溫度的創新,1,陳建豪
商業3,做一件只有你能做的事,1,龔建嘉等口述，謝其濬著
商業3,開創：政治大學對台灣管理教育的貢獻,1,許士軍、劉水深、司徒達賢等口述，楊倩蓉採訪整理
商業3,人居幸福學：將捷集團的多角化思維,1,王維玲、張雅琳
商業3,植夢共好：德威國際口腔醫療體系創新之路,1,邵冰如
商業3,中鼎銳變學：余俊彥與團隊贏得信賴的故事,1,傅瑋瓊
商業3,以5微米連結世界：沈文振和拓凱寫下碳纖維傳奇,1,王維玲
商業3,一棵樹與一家人：彭培業與台灣房屋的服務學,1,陳彥豪
商業3,之間,1,吳錦勳
商業3,築冠以德,1,馬玉山李翠卿採訪整理
商業3,划向未來的方舟：輔大六十，熠熠生輝,1,彭漣漪、張雅琳、陳培思、陳名
商業3,每一天都是愛的練習:莊宏達和瑪利亞基金會的生命實踐,1,李嘉人
商業3,跨越陸海空的醫者：童綜合醫院守護中台灣,1,吳秀樺、林惠君
商業3,恩主公醫院的慈悲喜捨,1,陳培英
商業3,一座總統圖書館的誕生,1,夏珍、蔣經國國際學術交流基金會
商業3,在時代之上．與世界對話：臺大工學院追求卓越80年,1,丁希如、邵冰如
商業3,銀杏．火焰．守護者,1,林進修
商業3,美伶姐的台灣地方創生故事,1,陳美伶
商業3,高度2500呎的夢想,1,陳書孜、王思佳
商業3,在地的幸福生活：美伶姐的台灣地方創生故事PARTII,1,陳美伶
商業3,城市淨零12堂課：高雄永續發展轉型攻略,1,顧旻
商業3,無路，可走：屏東沒有路就自己鑿路,1,侯千絹
商業3,中間。中堅：島嶼中心的不平凡,1,駱亭伶、李政青
商業3,未來城市備忘錄,1,陳芛薇、蔣金
商業3,啟動幸福方程式：臺中，邁向永續宜居的實踐計畫,1,楊茲珺、胡芝寧
商業3,你想活出怎樣的小鎮？何培鈞的九個創生觀點,1,何培鈞、楊麗玲
商業4,簡單思考,1,LINE前任CEO森川亮
商業4,這一生，你想留下什麼？：史丹佛的10堂領導課,1,約翰．漢尼斯
商業4,自由工作的未來：零工經濟趨勢的機會與挑戰,1,瑪莉安．麥加蒙
商業4,金牌業務：9種心態＋8項技巧，決定你的業績表現,1,安東尼．伊安納里諾
商業4,心智鍛鍊,1,許皓宜、周思齊
商業4,10分鐘完成每件工作：讓你優秀的不是努力，而是方法,1,森川亮
商業4,成為更好的你,1,大衛．布魯克斯
商業4,第二座山,1,大衛．布魯克斯
商業4,李開復給青年的12封信,1,李開復
商業4,你是誰，比你做什麼更重要：英國管理大師韓第寫給你的21封信,1,查爾斯．韓第
商業4,覺醒的年代：解讀弔詭新未來（經典珍藏版）,1,查爾斯．韓第
商業4,你拿什麼定義自己？：英國管理大師韓第的生命故事（經典珍藏版）,1,查爾斯．韓第
商業4,大象與跳蚤：組織與個人的新關係（經典珍藏版）,1,查爾斯．韓第
商業4,第二曲線：社會再造的新思維（經典珍藏版）,1,查爾斯．韓第
商業4,你問對問題了嗎？,1,湯馬斯．維戴爾－維德斯柏
商業4,溝通的方法,1,脫不花
商業4,成功心態,1,萊恩．高佛森
商業4,努力，但不費力,1,葛瑞格．麥基昂
商業4,少，但是更好（新編增訂版）,1,葛瑞格．麥基昂
商業4,唐鳳的破框思考力,1,唐鳳口述楊倩蓉採訪撰文
商業4,你想成為什麼樣的人？：哈佛管理大師的人生經營學,1,艾瑞克．賽諾威、梅瑞爾．梅多
商業4,聰明簡潔的溝通,1,吉姆．范德海、麥克．艾倫、羅伊．史瓦茲
商業4,栗山筆記：一生受用的經典閱讀法,1,栗山英樹
商業4,高績效心智（暢銷新編版）,1,莫頓．韓森
商業4,運氣心理學,1,柳旻志
商業4,為什麼我們會被騙？,1,丹尼爾．西蒙斯、克里斯．查布利斯
商業4,奧美傳奇廣告鬼才破框思考術,1,羅里．薩特蘭
商業4,少，但是更好90天生活實踐,1,葛瑞格．麥基昂
商業4,為什麼對方總是聽不懂？,1,今井睦美
商業4,極限銷售,1,謝文憲、劉子寧
商業4,自媒體行銷：短影音時代打造IP和流量變現,1,蓋瑞．范納洽
商業4,九十自述,1,查爾斯．韓第
商業5,晶片對決：台灣經濟與命運的生存戰,1,尹啟銘
商業5,張忠謀自傳：上冊一九三一──一九六四,1,張忠謀
商業5,張忠謀自傳：下冊一九六四──二零一八,1,張忠謀
商業5,張忠謀自傳全集（上下冊）,1
